conv5, powerspec, ps_synths, original
0.30815101, 0.31829416, 0.30065303, 0.37799544
0.19552166, 0.23464599, 0.22606673, 0.30915691
0.16381423, 0.15972207, 0.15615931, 0.14319533
0.21955025, 0.23177715, 0.22545960, 0.18447350
0.66544855, 0.67870446, 0.66326757, 0.83541620
0.10133535, 0.10108249, 0.09818853, 0.08838634
0.13847524, 0.13518396, 0.13431622, 0.13627646
0.20827713, 0.59181392, 0.22757244, 0.84603069
0.25059453, 0.25581543, 0.26167879, 0.27581523
0.53109714, 0.86930156, 0.82593461, 0.90090797
0.18229570, 0.19209832, 0.18661180, 0.18576733
0.24054626, 0.24263244, 0.24280691, 0.23141752
